id,family_id,star_count
5526,5526,353
5530,5526,1
240714,5526,0
1070055,5526,0
2566207,5526,0
2751939,5526,0
6707358,5526,0
8379353,5526,0
8517500,5526,0
10559554,5526,0
10934225,5526,1
18743311,5526,0
19036966,5526,0
21843394,5526,0
27542501,5526,0
49080708,5526,0
50151396,5526,0
54200918,5526,0
56391583,5526,0
110070835,5526,0
110390083,5526,0
5759,5759,3003
6154,5759,0
7648,5759,0
7664,5759,0
65753,5759,0
254858,5759,0
260594,5759,0
263912,5759,0
268171,5759,0
272727,5759,0
272735,5759,0
272736,5759,0
319987,5759,0
325285,5759,0
349016,5759,1
372928,5759,0
390040,5759,0
416092,5759,0
436022,5759,0
467229,5759,0
512559,5759,0
527329,5759,0
528284,5759,0
528324,5759,1
528325,5759,0
578315,5759,0
861437,5759,0
1298533,5759,3
1348171,5759,0
1429710,5759,0
1532931,5759,0
1532961,5759,1
1532965,5759,0
1532968,5759,1
1532971,5759,1
1532973,5759,2
1532979,5759,1
1532987,5759,1
1532991,5759,1
1533013,5759,1
1533037,5759,1
1533064,5759,1
1533087,5759,1
1533099,5759,1
1533101,5759,1
1533171,5759,1
1533189,5759,0
1667522,5759,0
1752325,5759,0
2279669,5759,0
2371810,5759,4
2721323,5759,0
2940518,5759,0
3012082,5759,0
3253183,5759,0
3268669,5759,0
3328274,5759,5
3448490,5759,0
3605787,5759,0
4120809,5759,0
4214220,5759,1
4402724,5759,0
4797609,5759,0
5357622,5759,0
5420916,5759,0
5976104,5759,0
6403639,5759,0
6493627,5759,0
6726474,5759,0
7013979,5759,0
7797724,5759,0
8230774,5759,0
8542732,5759,0
9426177,5759,0
11547917,5759,0
11837912,5759,0
13552793,5759,0
13564430,5759,0
21940238,5759,0
26002869,5759,0
28172023,5759,0
54743884,5759,0
66242358,5759,1
70370989,5759,0
73010176,5759,0
92881869,5759,0
6411,6411,519
295149,6411,0
295210,6411,0
433823,6411,0
900829,6411,0
2368158,6411,0
2575506,6411,0
4288015,6411,0
4294937,6411,0
5617180,6411,1
7299524,6411,0
7716794,6411,0
8493476,6411,0
8859714,6411,1
10372210,6411,0
14865193,6411,0
16645551,6411,2
