,document,topic,gamma
228,76197325,1,0.978951383
229,81079866,1,0.82097721
230,38701496,1,0.939871697
231,41275664,1,0.980626051
232,42339746,1,0.608860943
233,45191141,1,0.769528365
234,45641505,1,0.947916048
235,45641668,1,0.862974623
236,53369179,1,0.647110621
237,57659789,1,0.649085772
238,59461963,1,0.797568019
239,65127734,1,0.516594676
240,78349571,1,0.979209572
241,82877906,1,0.937751459
242,89700811,1,0.779067339
243,54979968,1,0.54883891
244,55459370,1,0.943421777
245,66839916,1,0.931821954
246,91518477,1,0.876024765
247,98665603,1,0.57981471
248,47087698,1,0.436926531
249,47779097,1,0.897893363
250,49265377,1,0.990266699
251,56684063,1,0.524079408
252,66819797,1,0.536567232
253,70940764,1,0.704410573
254,81067430,1,0.570729664
255,41337451,1,0.718176417
256,49693962,1,0.494751546
257,49779797,1,0.77031443
258,62302426,1,0.889150664
259,62874610,1,0.664995805
260,72775007,1,0.79817076
261,76446912,1,0.477298096
262,79078754,1,0.371204166
263,83039585,1,0.691274373
264,83543793,1,0.889781858
265,84299669,1,0.350661425
266,89967502,1,0.897694222
267,90206189,1,0.733499963
268,42218265,1,0.50661673
269,42225488,1,0.501705605
270,48215698,1,0.672813597
271,57791428,1,0.639801323
272,67090053,1,0.697883502
273,68100063,1,0.790760527
274,74985951,1,0.736229184
275,76050949,1,0.95816496
276,91278329,1,0.509612185
277,92325384,1,0.649371209
278,92778999,1,0.900151303
279,95590312,1,0.957793201
280,40464850,1,0.371112303
281,47235184,1,0.932580349
282,49813935,1,0.813901214
283,54984934,1,0.605230729
284,56635707,1,0.458162487
285,62050339,1,0.884689068
286,65756837,1,0.318674047
287,66147148,1,0.746256516
288,69644336,1,0.970858752
289,87967153,1,0.953083908
290,40504224,1,0.960642315
291,40817512,1,0.842324635
292,42025477,1,0.604261581
293,46594231,1,0.668745037
294,61770497,1,0.984375443
295,61786035,1,0.989538588
296,65006715,1,0.359563452
297,68302914,1,0.735302368
298,68628245,1,0.560169479
299,68639472,1,0.614772868
300,83314580,1,0.604209657
301,86498468,1,0.617979425
302,33703389,1,0.562594278
303,43919589,1,0.548549357
304,46345523,1,0.895824783
305,49622212,1,0.823460712
306,52281949,1,0.685962927
307,75038629,1,0.606314776
308,75248702,1,0.792083756
309,81157085,1,0.688822653
310,93310681,1,0.966703577
311,35806589,1,0.399994004
312,40777994,1,0.983785325
313,42359979,1,0.8149154
314,49131210,1,0.391737832
315,58100297,1,0.568747482
316,60769579,1,0.778330074
317,69284927,1,0.778470662
318,69320701,1,0.637425799
319,69851640,1,0.407316878
320,72116909,1,0.575514735
321,75622755,1,0.784054127
322,85900875,1,0.594419042
323,93803824,1,0.695280393
324,96780347,1,0.741573553
325,35435603,1,0.4858467
326,37531763,1,0.9571138
327,39635653,1,0.538598158
328,45998742,1,0.476781431
329,51366165,1,0.656894404
330,51367564,1,0.935502439
331,51596299,1,0.556440664
332,53339926,1,0.512344593
333,62777454,1,0.589917262
334,70717999,1,0.877219363
335,80914571,1,0.467999865
336,83755395,1,0.591350575
337,85365895,1,0.762919045
338,92509349,1,0.620749094
339,93050892,1,0.602118551
340,95712851,1,0.81021671
341,41918703,1,0.935772026
342,43465271,1,0.614025551
343,44134536,1,0.481840037
344,55576966,1,0.615901509
345,61234966,1,0.886815299
346,61373024,1,0.567592325
347,61543945,1,0.410505319
348,64419838,1,0.844305526
349,73934597,1,0.759461936
350,74813632,1,0.48105339
351,82500385,1,0.738039858
352,86825249,1,0.816307977
353,89115008,1,0.982371682
354,91355759,1,0.674853612
355,94762412,1,0.969675492
356,99426265,1,0.528689227
357,33685298,1,0.568117626
358,44475148,1,0.819711414
359,46286732,1,0.519488804
360,47716571,1,0.498693443
361,48463837,1,0.828494676
362,48838633,1,0.518300805
363,50393863,1,0.664061949
364,64563801,1,0.703972944
365,67065185,1,0.419260553
366,67273171,1,0.7351175
367,67771481,1,0.663136538
368,69396749,1,0.826447464
369,74148991,1,0.811284329
370,83403164,1,0.906152389
371,83975837,1,0.836834232
372,90462913,1,0.415115414
373,94451403,1,0.582951929
374,94464336,1,0.68055787
375,98182403,1,0.614539034
376,41109872,1,0.873661173
377,42779784,1,0.505837765
378,43112207,1,0.964529009
379,44966618,1,0.852589209
380,46594013,1,0.971424416
381,46833513,1,0.848517339
382,49263229,1,0.343613282
383,51257939,1,0.626498578
384,52712762,1,0.772832351
385,53240177,1,0.5518111
386,53404297,1,0.606903442
387,57601882,1,0.54401783
388,79398434,1,0.92329726
389,83483593,1,0.634866269
390,86054707,1,0.709343755
391,86223722,1,0.59366508
392,87977840,1,0.988950134
393,89226984,1,0.588850095
394,91847672,1,0.484523593
395,93700538,1,0.684744269
396,35917348,1,0.438810754
397,36171591,1,0.97121723
398,40758091,1,0.552919283
399,42131620,1,0.786018518
400,50097912,1,0.498105095
401,51418129,1,0.729584887
402,54972645,1,0.60348729
403,58866088,1,0.688599264
404,59483361,1,0.390437216
405,64119921,1,0.550179948
406,66185459,1,0.883173204
407,82357947,1,0.885910549
408,83745127,1,0.328032315
409,85181491,1,0.721728118
410,92517693,1,0.530692487
411,37009952,1,0.565860638
412,37311891,1,0.778300259
413,37905267,1,0.953794438
414,42687979,1,0.526736335
415,47357322,1,0.987505231
416,47664957,1,0.894697321
417,49972429,1,0.583973968
418,51786119,1,0.395745803
419,56805061,1,0.724625766
420,57131792,1,0.67951983
421,58539499,1,0.81943515
422,62112284,1,0.944987568
423,66213313,1,0.568635525
424,66722506,1,0.499374002
425,66841675,1,0.33063054
426,67267467,1,0.838958553
427,67283409,1,0.579625102
428,84569448,1,0.371663619
429,84789409,1,0.501444932
430,85728155,1,0.630989879
431,92562055,1,0.699171021
432,35445477,1,0.724780924
433,35634805,1,0.554531025
434,40010189,1,0.775632982
435,40261409,1,0.659521202
436,42036886,1,0.816675084
437,42265736,1,0.593235962
438,43660022,1,0.67264934
439,49009348,1,0.436879772
440,49371621,1,0.501430944
441,49481934,1,0.845451335
442,49698903,1,0.968169366
443,50136527,1,0.670625101
444,52567368,1,0.448798136
445,53569183,1,0.943911921
446,56181557,1,0.733460892
447,60748129,1,0.524434869
448,61984437,1,0.813296574
449,66907671,1,0.846158195
450,70197350,1,0.436589965
451,70443566,1,0.84767408
