,document,topic,gamma
228,23954610,1,0.951356037
229,33047910,1,0.721170109
230,35767278,1,0.896931646
231,37643872,1,0.767022224
232,42705507,1,0.731942516
233,43822964,1,0.946314714
234,45545475,1,0.916815035
235,49569319,1,0.959748032
236,49584121,1,0.965088754
237,51185988,1,0.867489253
238,53951702,1,0.976087554
239,54259320,1,0.918733084
240,59071463,1,0.849113599
241,59604224,1,0.395792845
242,59943646,1,0.915353162
243,61813149,1,0.915862607
244,72622902,1,0.8420622
245,73443792,1,0.888163773
246,87755517,1,0.519336546
247,24369381,1,0.958948818
248,24369382,1,0.958948818
249,24824202,1,0.906583224
250,27817417,1,0.954583357
251,28803021,1,0.831625181
252,28950684,1,0.882945703
253,29109968,1,0.749104844
254,29947165,1,0.829117264
255,31265602,1,0.976038958
256,31606564,1,0.935809194
257,35359658,1,0.947448989
258,44923916,1,0.670669762
259,53057835,1,0.888853681
260,65687200,1,0.974568022
261,70128737,1,0.689393379
262,70768313,1,0.965677366
263,14691244,1,0.350861544
264,17830352,1,0.551839536
265,22221041,1,0.838593491
266,33470832,1,0.335250764
267,35893186,1,0.927471324
268,37445257,1,0.91509337
269,37922351,1,0.788037545
270,38283432,1,0.846796246
271,39722811,1,0.929665737
272,39861002,1,0.845058135
273,43501872,1,0.888319751
274,43503959,1,0.91701122
275,43908058,1,0.854907652
276,44977085,1,0.879496137
277,45074617,1,0.935374233
278,45334671,1,0.853431278
279,45491776,1,0.841060735
280,46144602,1,0.922752245
281,47278736,1,0.890772707
282,47552603,1,0.89788145
283,49850073,1,0.899616675
284,52891551,1,0.878374017
285,53271138,1,0.798998042
286,54620722,1,0.770257998
287,55015566,1,0.914654666
288,55243429,1,0.876037752
289,56781520,1,0.793991602
290,57013623,1,0.653218014
291,57202313,1,0.868578182
292,57288765,1,0.847940132
293,57690264,1,0.821308263
294,59689952,1,0.891211992
295,61621615,1,0.883459289
296,61626552,1,0.835461804
297,61645640,1,0.774315099
298,62122379,1,0.801915044
299,62540987,1,0.82658899
300,62803311,1,0.91064312
301,63954901,1,0.842455033
302,64968776,1,0.710299895
303,68639050,1,0.944354457
304,68733393,1,0.945708976
305,72825274,1,0.566351814
306,74094091,1,0.813603512
307,76495749,1,0.891792677
308,76711728,1,0.752673216
309,77418042,1,0.922319103
310,1566891,1,0.471214978
311,12526557,1,0.470402103
312,16181978,1,0.414175158
313,20113917,1,0.538052123
314,24055685,1,0.861389795
315,24062626,1,0.753177339
316,25160927,1,0.966546272
317,30508486,1,0.933322632
318,30957159,1,0.929952446
319,32741217,1,0.967976575
320,37098681,1,0.784569505
321,38762552,1,0.919479347
322,40360361,1,0.975639105
323,40891503,1,0.817404675
324,43787896,1,0.965014342
325,47055754,1,0.981134302
326,47139345,1,0.766422996
327,56407775,1,0.901325792
328,57272773,1,0.963446843
329,58745157,1,0.80111134
330,69566631,1,0.959604772
331,70335020,1,0.854104802
332,70755421,1,0.673070737
333,70859772,1,0.595579116
334,71419078,1,0.56539495
335,71692167,1,0.781997205
336,73706427,1,0.813814824
337,74471102,1,0.882166938
338,77853497,1,0.791869686
339,12872090,1,0.514579176
340,24000447,1,0.466231731
341,30793528,1,0.93803099
342,35576142,1,0.894263589
343,35765270,1,0.632228768
344,35990949,1,0.907988747
345,38325819,1,0.656476409
346,38521144,1,0.865914829
347,39805090,1,0.974180266
348,39852007,1,0.587579056
349,40054842,1,0.960316853
350,40205448,1,0.830963762
351,42687744,1,0.890987434
352,43503923,1,0.772672787
353,44300789,1,0.889583076
354,45143024,1,0.917490095
355,46627347,1,0.881085495
